time:10.434, x:107.358, y:-0.000, z:0.549, h:0.000
time:10.534, x:109.539, y:-0.000, z:0.549, h:0.000
time:10.634, x:111.710, y:-0.000, z:0.549, h:0.000
time:10.734, x:113.874, y:-0.000, z:0.549, h:0.000
time:10.834, x:116.012, y:-0.000, z:0.549, h:0.000
time:10.934, x:118.063, y:-0.000, z:0.547, h:-0.000
time:11.034, x:120.007, y:-0.000, z:0.542, h:-0.000
time:11.134, x:121.836, y:-0.000, z:0.545, h:-0.000
time:11.234, x:123.550, y:-0.000, z:0.551, h:-0.001
time:11.334, x:125.155, y:-0.000, z:0.554, h:-0.001
time:11.434, x:126.651, y:-0.001, z:0.551, h:-0.001
time:11.534, x:128.035, y:-0.001, z:0.548, h:-0.002
time:11.634, x:129.304, y:-0.001, z:0.547, h:-0.002
time:11.734, x:130.457, y:-0.002, z:0.549, h:-0.002
time:11.834, x:131.498, y:-0.002, z:0.551, h:-0.003
time:11.934, x:132.427, y:-0.002, z:0.550, h:-0.003
time:12.034, x:133.245, y:-0.002, z:0.549, h:-0.003
time:12.134, x:133.948, y:-0.002, z:0.548, h:-0.004
time:12.234, x:134.538, y:-0.002, z:0.549, h:-0.004
time:12.334, x:135.025, y:-0.002, z:0.550, h:-0.004
time:12.434, x:135.438, y:-0.003, z:0.551, h:-0.004
time:12.534, x:135.783, y:-0.003, z:0.551, h:-0.003
time:12.634, x:136.061, y:-0.004, z:0.549, h:-0.003
time:12.734, x:136.274, y:-0.003, z:0.549, h:-0.002
time:12.834, x:136.429, y:-0.003, z:0.549, h:-0.002
time:12.934, x:136.525, y:-0.003, z:0.550, h:-0.002
time:13.034, x:136.563, y:-0.003, z:0.550, h:-0.002
time:13.134, x:136.563, y:-0.003, z:0.549, h:-0.002
time:13.234, x:136.558, y:-0.003, z:0.548, h:-0.002
time:13.334, x:136.556, y:-0.003, z:0.547, h:-0.002
time:13.434, x:136.557, y:-0.003, z:0.548, h:-0.002
time:13.534, x:136.558, y:-0.003, z:0.549, h:-0.002
time:13.634, x:136.558, y:-0.003, z:0.549, h:-0.002
time:13.734, x:136.558, y:-0.003, z:0.548, h:-0.002
time:13.834, x:136.557, y:-0.003, z:0.548, h:-0.002
time:13.934, x:136.557, y:-0.003, z:0.549, h:-0.002
time:14.034, x:136.557, y:-0.003, z:0.549, h:-0.002
time:14.134, x:136.557, y:-0.003, z:0.549, h:-0.002
time:14.234, x:136.557, y:-0.003, z:0.549, h:-0.002
time:14.334, x:136.557, y:-0.003, z:0.549, h:-0.002
time:14.434, x:136.557, y:-0.003, z:0.549, h:-0.002
time:14.534, x:136.557, y:-0.003, z:0.549, h:-0.002
time:14.634, x:136.557, y:-0.003, z:0.549, h:-0.002
time:14.734, x:136.557, y:-0.003, z:0.549, h:-0.002
time:14.834, x:136.557, y:-0.003, z:0.549, h:-0.002
time:14.934, x:136.557, y:-0.003, z:0.549, h:-0.002
time:15.034, x:136.557, y:-0.003, z:0.549, h:-0.002
time:15.134, x:136.557, y:-0.003, z:0.549, h:-0.002
time:15.234, x:136.557, y:-0.003, z:0.549, h:-0.002
time:15.334, x:136.557, y:-0.003, z:0.549, h:-0.002
time:15.434, x:136.557, y:-0.003, z:0.549, h:-0.002
time:15.534, x:136.557, y:-0.003, z:0.549, h:-0.002
time:15.634, x:136.557, y:-0.003, z:0.549, h:-0.002
time:15.734, x:136.557, y:-0.003, z:0.549, h:-0.002
time:15.834, x:136.557, y:-0.003, z:0.549, h:-0.002
time:15.934, x:136.556, y:-0.003, z:0.549, h:-0.002
time:16.034, x:136.556, y:-0.003, z:0.549, h:-0.002
time:16.134, x:136.556, y:-0.003, z:0.549, h:-0.002
time:16.234, x:136.556, y:-0.003, z:0.549, h:-0.002
time:16.334, x:136.556, y:-0.003, z:0.549, h:-0.002
time:16.434, x:136.556, y:-0.003, z:0.549, h:-0.002
time:16.534, x:136.556, y:-0.003, z:0.549, h:-0.002
time:16.634, x:136.556, y:-0.003, z:0.549, h:-0.002
time:16.734, x:136.556, y:-0.003, z:0.549, h:-0.002
time:16.834, x:136.556, y:-0.003, z:0.549, h:-0.002
time:16.934, x:136.556, y:-0.003, z:0.549, h:-0.002
time:17.034, x:136.556, y:-0.003, z:0.549, h:-0.002
time:17.134, x:136.556, y:-0.003, z:0.549, h:-0.002
time:17.234, x:136.556, y:-0.003, z:0.549, h:-0.002
time:17.334, x:136.556, y:-0.003, z:0.549, h:-0.002
time:17.434, x:136.556, y:-0.003, z:0.549, h:-0.002
time:17.534, x:136.556, y:-0.003, z:0.549, h:-0.002
time:17.634, x:136.556, y:-0.003, z:0.549, h:-0.002
time:17.734, x:136.556, y:-0.003, z:0.549, h:-0.002
time:17.834, x:136.556, y:-0.003, z:0.549, h:-0.002
time:17.934, x:136.556, y:-0.003, z:0.549, h:-0.002
time:18.034, x:136.556, y:-0.003, z:0.549, h:-0.002
time:18.134, x:136.556, y:-0.003, z:0.549, h:-0.002
time:18.234, x:136.556, y:-0.003, z:0.549, h:-0.002
time:18.334, x:136.556, y:-0.003, z:0.549, h:-0.002
time:18.434, x:136.555, y:-0.003, z:0.549, h:-0.002
time:18.534, x:136.555, y:-0.003, z:0.549, h:-0.002
time:18.634, x:136.555, y:-0.003, z:0.549, h:-0.002
time:18.734, x:136.555, y:-0.003, z:0.549, h:-0.002
time:18.834, x:136.555, y:-0.003, z:0.549, h:-0.002
time:18.934, x:136.555, y:-0.003, z:0.549, h:-0.002
time:19.034, x:136.555, y:-0.003, z:0.549, h:-0.002
time:19.134, x:136.555, y:-0.003, z:0.549, h:-0.002
time:19.234, x:136.555, y:-0.003, z:0.549, h:-0.002
time:19.334, x:136.555, y:-0.003, z:0.549, h:-0.002
time:19.434, x:136.555, y:-0.003, z:0.549, h:-0.002
time:19.534, x:136.555, y:-0.003, z:0.549, h:-0.002
time:19.634, x:136.555, y:-0.003, z:0.549, h:-0.002
time:19.734, x:136.555, y:-0.003, z:0.549, h:-0.002
time:19.834, x:136.555, y:-0.003, z:0.549, h:-0.002
time:19.934, x:136.555, y:-0.003, z:0.549, h:-0.002
time:20.034, x:136.555, y:-0.003, z:0.549, h:-0.002
time:20.134, x:136.555, y:-0.003, z:0.549, h:-0.002
time:20.234, x:136.555, y:-0.003, z:0.549, h:-0.002
time:20.334, x:136.555, y:-0.003, z:0.549, h:-0.002
time:20.434, x:136.555, y:-0.003, z:0.549, h:-0.002
time:20.534, x:136.555, y:-0.003, z:0.549, h:-0.002
time:20.634, x:136.555, y:-0.003, z:0.549, h:-0.002
time:20.734, x:136.555, y:-0.003, z:0.549, h:-0.002
time:20.834, x:136.555, y:-0.003, z:0.549, h:-0.002
time:20.934, x:136.555, y:-0.003, z:0.549, h:-0.002
time:21.034, x:136.555, y:-0.003, z:0.549, h:-0.002
time:21.134, x:136.555, y:-0.003, z:0.549, h:-0.002
time:21.234, x:136.555, y:-0.003, z:0.549, h:-0.002
time:21.334, x:136.555, y:-0.003, z:0.549, h:-0.002
time:21.434, x:136.555, y:-0.003, z:0.549, h:-0.002
time:21.534, x:136.560, y:-0.003, z:0.549, h:-0.002
time:21.634, x:136.578, y:-0.003, z:0.549, h:-0.001
time:21.734, x:136.622, y:-0.003, z:0.550, h:-0.001
time:21.834, x:136.696, y:-0.003, z:0.550, h:-0.001
time:21.934, x:136.799, y:-0.003, z:0.551, h:-0.001
time:22.034, x:136.932, y:-0.003, z:0.551, h:-0.001
time:22.134, x:137.095, y:-0.002, z:0.551, h:-0.000
time:22.234, x:137.288, y:-0.002, z:0.551, h:-0.000
time:22.334, x:137.511, y:-0.001, z:0.551, h:0.000
time:22.434, x:137.764, y:-0.001, z:0.551, h:0.001
time:22.534, x:138.047, y:-0.000, z:0.551, h:0.001
time:22.634, x:138.360, y:0.000, z:0.551, h:0.001
time:22.734, x:138.704, y:0.001, z:0.551, h:0.001
time:22.834, x:139.077, y:0.002, z:0.551, h:0.001
time:22.934, x:139.481, y:0.003, z:0.551, h:0.001
time:23.034, x:139.915, y:0.003, z:0.551, h:0.002
time:23.134, x:140.379, y:0.004, z:0.551, h:0.002
time:23.234, x:140.872, y:0.005, z:0.551, h:0.001
time:23.334, x:141.396, y:0.005, z:0.551, h:0.001
time:23.434, x:141.950, y:0.006, z:0.551, h:0.001
time:23.534, x:142.534, y:0.007, z:0.551, h:0.001
time:23.634, x:143.148, y:0.007, z:0.551, h:0.001
time:23.734, x:143.792, y:0.008, z:0.551, h:0.001
time:23.834, x:144.466, y:0.008, z:0.551, h:0.001
time:23.934, x:145.169, y:0.009, z:0.551, h:0.001
time:24.034, x:145.900, y:0.009, z:0.551, h:0.001
time:24.134, x:146.658, y:0.009, z:0.551, h:0.001
time:24.234, x:147.445, y:0.010, z:0.551, h:0.000
time:24.334, x:148.262, y:0.010, z:0.551, h:0.000
time:24.434, x:149.108, y:0.010, z:0.551, h:0.000
time:24.534, x:149.984, y:0.010, z:0.551, h:0.000
time:24.634, x:150.890, y:0.010, z:0.551, h:0.000
time:24.734, x:151.825, y:0.010, z:0.551, h:0.000
time:24.834, x:152.791, y:0.010, z:0.551, h:-0.000
time:24.934, x:153.786, y:0.010, z:0.551, h:-0.000
time:25.034, x:154.811, y:0.009, z:0.551, h:-0.000
time:25.134, x:155.863, y:0.009, z:0.551, h:-0.000
time:25.234, x:156.926, y:0.009, z:0.550, h:-0.000
